date,ethereum,ETH,isPartial
2022-08-06 00:00:00,60,30,False
2022-08-06 01:00:00,56,29,False
2022-08-06 02:00:00,51,28,False
2022-08-06 03:00:00,49,30,False
2022-08-06 04:00:00,54,27,False
2022-08-06 05:00:00,58,29,False
2022-08-06 06:00:00,58,30,False
2022-08-06 07:00:00,60,30,False
2022-08-06 08:00:00,58,30,False
2022-08-06 09:00:00,54,29,False
2022-08-06 10:00:00,57,30,False
2022-08-06 11:00:00,54,25,False
2022-08-06 12:00:00,50,26,False
2022-08-06 13:00:00,51,27,False
2022-08-06 14:00:00,52,26,False
2022-08-06 15:00:00,50,27,False
2022-08-06 16:00:00,52,24,False
2022-08-06 17:00:00,49,25,False
2022-08-06 18:00:00,55,25,False
2022-08-06 19:00:00,57,26,False
2022-08-06 20:00:00,56,27,False
2022-08-06 21:00:00,59,26,False
2022-08-06 22:00:00,58,27,False
2022-08-06 23:00:00,54,25,False
2022-08-07 00:00:00,50,24,False
2022-08-07 01:00:00,47,24,False
2022-08-07 02:00:00,45,23,False
2022-08-07 03:00:00,46,25,False
2022-08-07 04:00:00,46,24,False
2022-08-07 05:00:00,51,25,False
2022-08-07 06:00:00,57,26,False
2022-08-07 07:00:00,55,28,False
2022-08-07 08:00:00,54,29,False
2022-08-07 09:00:00,55,28,False
2022-08-07 10:00:00,54,28,False
2022-08-07 11:00:00,51,27,False
2022-08-07 12:00:00,54,26,False
2022-08-07 13:00:00,53,28,False
2022-08-07 14:00:00,51,26,False
2022-08-07 15:00:00,52,30,False
2022-08-07 16:00:00,51,26,False
2022-08-07 17:00:00,53,26,False
2022-08-07 18:00:00,57,29,False
2022-08-07 19:00:00,59,27,False
2022-08-07 20:00:00,66,27,False
2022-08-07 21:00:00,65,31,False
2022-08-07 22:00:00,62,30,False
2022-08-07 23:00:00,60,28,False
2022-08-08 00:00:00,51,26,False
2022-08-08 01:00:00,51,25,False
2022-08-08 02:00:00,51,27,False
2022-08-08 03:00:00,53,29,False
2022-08-08 04:00:00,56,31,False
2022-08-08 05:00:00,60,32,False
2022-08-08 06:00:00,63,34,False
2022-08-08 07:00:00,67,36,False
2022-08-08 08:00:00,63,38,False
2022-08-08 09:00:00,77,41,False
2022-08-08 10:00:00,76,38,False
2022-08-08 11:00:00,72,37,False
2022-08-08 12:00:00,85,40,False
2022-08-08 13:00:00,83,36,False
2022-08-08 14:00:00,82,38,False
2022-08-08 15:00:00,78,38,False
2022-08-08 16:00:00,73,37,False
2022-08-08 17:00:00,74,33,False
2022-08-08 18:00:00,74,35,False
2022-08-08 19:00:00,78,33,False
2022-08-08 20:00:00,83,38,False
2022-08-08 21:00:00,81,34,False
2022-08-08 22:00:00,73,36,False
2022-08-08 23:00:00,68,34,False
2022-08-09 00:00:00,60,31,False
2022-08-09 01:00:00,52,31,False
2022-08-09 02:00:00,55,31,False
2022-08-09 03:00:00,54,31,False
2022-08-09 04:00:00,66,33,False
2022-08-09 05:00:00,70,36,False
2022-08-09 06:00:00,63,37,False
2022-08-09 07:00:00,63,31,False
2022-08-09 08:00:00,67,40,False
2022-08-09 09:00:00,68,35,False
2022-08-09 10:00:00,70,33,False
2022-08-09 11:00:00,69,32,False
2022-08-09 12:00:00,73,33,False
2022-08-09 13:00:00,68,32,False
2022-08-09 14:00:00,73,35,False
2022-08-09 15:00:00,69,33,False
2022-08-09 16:00:00,66,32,False
2022-08-09 17:00:00,65,32,False
2022-08-09 18:00:00,70,29,False
2022-08-09 19:00:00,70,31,False
2022-08-09 20:00:00,71,31,False
2022-08-09 21:00:00,75,33,False
2022-08-09 22:00:00,66,33,False
2022-08-09 23:00:00,55,29,False
2022-08-10 00:00:00,52,28,False
2022-08-10 01:00:00,56,28,False
2022-08-10 02:00:00,52,31,False
2022-08-10 03:00:00,55,29,False
2022-08-10 04:00:00,58,29,False
2022-08-10 05:00:00,60,32,False
2022-08-10 06:00:00,62,33,False
2022-08-10 07:00:00,59,33,False
2022-08-10 08:00:00,51,33,False
2022-08-10 09:00:00,57,30,False
2022-08-10 10:00:00,62,29,False
2022-08-10 11:00:00,59,28,False
2022-08-10 12:00:00,68,36,False
2022-08-10 13:00:00,90,48,False
2022-08-10 14:00:00,85,44,False
2022-08-10 15:00:00,90,42,False
2022-08-10 16:00:00,82,39,False
2022-08-10 17:00:00,80,38,False
2022-08-10 18:00:00,84,35,False
2022-08-10 19:00:00,82,36,False
2022-08-10 20:00:00,83,36,False
2022-08-10 21:00:00,95,41,False
2022-08-10 22:00:00,89,40,False
2022-08-10 23:00:00,74,35,False
2022-08-11 00:00:00,62,38,False
2022-08-11 01:00:00,73,43,False
2022-08-11 02:00:00,83,53,False
2022-08-11 03:00:00,79,46,False
2022-08-11 04:00:00,89,43,False
2022-08-11 05:00:00,95,49,False
2022-08-11 06:00:00,94,48,False
2022-08-11 07:00:00,90,47,False
2022-08-11 08:00:00,86,45,False
2022-08-11 09:00:00,88,44,False
2022-08-11 10:00:00,88,41,False
2022-08-11 11:00:00,89,41,False
2022-08-11 12:00:00,100,49,False
2022-08-11 13:00:00,99,47,False
2022-08-11 14:00:00,98,47,False
2022-08-11 15:00:00,92,42,False
2022-08-11 16:00:00,92,39,False
2022-08-11 17:00:00,89,42,False
2022-08-11 18:00:00,89,41,False
2022-08-11 19:00:00,91,40,False
2022-08-11 20:00:00,96,42,False
2022-08-11 21:00:00,99,40,False
2022-08-11 22:00:00,88,39,False
2022-08-11 23:00:00,75,40,False
2022-08-12 00:00:00,71,34,False
2022-08-12 01:00:00,62,33,False
2022-08-12 02:00:00,63,34,False
2022-08-12 03:00:00,66,38,False
2022-08-12 04:00:00,75,41,False
2022-08-12 05:00:00,79,37,False
2022-08-12 06:00:00,79,41,False
2022-08-12 07:00:00,78,37,False
2022-08-12 08:00:00,77,44,False
2022-08-12 09:00:00,78,37,False
2022-08-12 10:00:00,79,35,False
2022-08-12 11:00:00,79,35,False
2022-08-12 12:00:00,79,33,False
2022-08-12 13:00:00,79,35,False
2022-08-12 14:00:00,75,36,False
2022-08-12 15:00:00,77,34,False
2022-08-12 16:00:00,77,33,False
2022-08-12 17:00:00,77,32,False
2022-08-12 18:00:00,78,33,False
2022-08-12 19:00:00,85,38,False
2022-08-12 20:00:00,92,36,False
2022-08-12 21:00:00,93,40,False
2022-08-12 22:00:00,84,35,False
2022-08-12 23:00:00,81,39,False
2022-08-13 00:00:00,75,36,False
2022-08-13 00:00:00,72,35,False
2022-08-13 01:00:00,68,35,False
2022-08-13 02:00:00,64,34,False
2022-08-13 03:00:00,69,37,False
2022-08-13 04:00:00,81,48,False
2022-08-13 05:00:00,87,47,False
2022-08-13 06:00:00,100,50,False
2022-08-13 07:00:00,94,49,False
2022-08-13 08:00:00,92,46,False
2022-08-13 09:00:00,85,42,False
2022-08-13 10:00:00,86,44,False
2022-08-13 11:00:00,82,37,False
2022-08-13 12:00:00,80,34,False
2022-08-13 13:00:00,76,35,False
2022-08-13 14:00:00,72,32,False
2022-08-13 15:00:00,73,30,False
2022-08-13 16:00:00,72,35,False
2022-08-13 17:00:00,75,38,False
2022-08-13 18:00:00,71,34,False
2022-08-13 19:00:00,75,29,False
2022-08-13 20:00:00,81,33,False
2022-08-13 21:00:00,88,35,False
2022-08-13 22:00:00,79,32,False
2022-08-13 23:00:00,71,32,False
2022-08-14 00:00:00,69,33,False
2022-08-14 01:00:00,62,30,False
2022-08-14 02:00:00,64,31,False
2022-08-14 03:00:00,64,33,False
2022-08-14 04:00:00,62,31,False
2022-08-14 05:00:00,67,33,False
2022-08-14 06:00:00,76,32,False
2022-08-14 07:00:00,78,37,False
2022-08-14 08:00:00,85,40,False
2022-08-14 09:00:00,84,38,False
2022-08-14 10:00:00,79,39,False
2022-08-14 11:00:00,77,32,False
2022-08-14 12:00:00,77,32,False
2022-08-14 13:00:00,73,34,False
2022-08-14 14:00:00,70,29,False
2022-08-14 15:00:00,71,32,False
2022-08-14 16:00:00,71,31,False
2022-08-14 17:00:00,78,33,False
2022-08-14 18:00:00,75,31,False
2022-08-14 19:00:00,78,29,False
2022-08-14 20:00:00,76,32,False
2022-08-14 21:00:00,76,33,False
2022-08-14 22:00:00,71,32,False
2022-08-14 23:00:00,66,31,False
2022-08-15 00:00:00,61,30,False
2022-08-15 01:00:00,58,30,False
2022-08-15 02:00:00,63,34,False
2022-08-15 03:00:00,68,38,False
2022-08-15 04:00:00,64,34,False
2022-08-15 05:00:00,80,34,False
2022-08-15 06:00:00,79,38,False
2022-08-15 07:00:00,78,38,False
2022-08-15 08:00:00,81,43,False
2022-08-15 09:00:00,75,37,False
2022-08-15 10:00:00,74,36,False
2022-08-15 11:00:00,73,34,False
2022-08-15 12:00:00,73,36,False
2022-08-15 13:00:00,72,34,False
2022-08-15 14:00:00,72,35,False
2022-08-15 15:00:00,71,35,False
2022-08-15 16:00:00,75,32,False
2022-08-15 17:00:00,74,32,False
2022-08-15 18:00:00,75,32,False
2022-08-15 19:00:00,74,31,False
2022-08-15 20:00:00,83,34,False
2022-08-15 21:00:00,78,34,False
2022-08-15 22:00:00,68,36,False
2022-08-15 23:00:00,66,31,False
2022-08-16 00:00:00,60,28,False
2022-08-16 01:00:00,59,29,False
2022-08-16 02:00:00,59,30,False
2022-08-16 03:00:00,58,32,False
2022-08-16 04:00:00,66,31,False
2022-08-16 05:00:00,66,35,False
2022-08-16 06:00:00,64,33,False
2022-08-16 07:00:00,67,36,False
2022-08-16 08:00:00,66,36,False
2022-08-16 09:00:00,62,34,False
2022-08-16 10:00:00,69,35,False
2022-08-16 11:00:00,67,32,False
2022-08-16 12:00:00,70,32,False
2022-08-16 13:00:00,64,32,False
2022-08-16 14:00:00,65,31,False
2022-08-16 15:00:00,68,31,False
2022-08-16 16:00:00,65,31,False
2022-08-16 17:00:00,66,31,False
2022-08-16 18:00:00,67,33,False
2022-08-16 19:00:00,72,28,False
2022-08-16 20:00:00,75,33,False
2022-08-16 21:00:00,71,32,False
2022-08-16 22:00:00,63,30,False
2022-08-16 23:00:00,54,29,False
2022-08-17 00:00:00,53,27,False
2022-08-17 01:00:00,57,28,False
2022-08-17 02:00:00,55,28,False
2022-08-17 03:00:00,56,31,False
2022-08-17 04:00:00,64,31,False
2022-08-17 05:00:00,66,33,False
2022-08-17 06:00:00,75,39,False
2022-08-17 07:00:00,71,37,False
2022-08-17 08:00:00,66,37,False
2022-08-17 09:00:00,67,35,False
2022-08-17 10:00:00,69,34,False
2022-08-17 11:00:00,63,30,False
2022-08-17 12:00:00,63,30,False
2022-08-17 13:00:00,66,33,False
2022-08-17 14:00:00,69,35,False
2022-08-17 15:00:00,65,31,False
2022-08-17 16:00:00,77,30,False
2022-08-17 17:00:00,66,31,False
2022-08-17 18:00:00,68,31,False
2022-08-17 19:00:00,74,33,False
2022-08-17 20:00:00,75,31,False
2022-08-17 21:00:00,73,32,False
2022-08-17 22:00:00,69,31,False
2022-08-17 23:00:00,62,29,False
2022-08-18 00:00:00,46,24,False
2022-08-18 01:00:00,46,25,False
2022-08-18 02:00:00,44,27,False
2022-08-18 03:00:00,49,27,False
2022-08-18 04:00:00,52,27,False
2022-08-18 05:00:00,56,27,False
2022-08-18 06:00:00,56,29,False
2022-08-18 07:00:00,51,31,False
2022-08-18 08:00:00,54,30,False
2022-08-18 09:00:00,54,30,False
2022-08-18 10:00:00,54,28,False
2022-08-18 11:00:00,56,28,False
2022-08-18 12:00:00,53,28,False
2022-08-18 13:00:00,56,28,False
2022-08-18 14:00:00,54,29,False
2022-08-18 15:00:00,57,30,False
2022-08-18 16:00:00,56,26,False
2022-08-18 17:00:00,57,28,False
2022-08-18 18:00:00,65,28,True
